Ticker,Stock_Ex,Price,% Price 7 days,% Price 1 month,% Price 3 months,% Price 1 year,PE,Beta
BWA,UpCom,8.1,0.0,0.0,0.0,-4.09,-18861432.593056,0.312188360318041
BWE,HSX,44,-1.92,0.32,0.22,-2.82,13.1725714914341,0
BWS,UpCom,28.8,0.0,-1.37,-3.16,-8.02,12.1258233703269,0
BXH,HNX,19.8,0.0,0.0,7.41,-2.0,22.8439056453311,0.388835334326527
C12,UpCom,3.6,0.0,0.0,0.0,0.0,6.93856945301284,0
C21,UpCom,12.4,0.0,8.62,0.0,8.73,18.7428265739912,0.0432795448185804
C22,UpCom,12,0.0,0.0,0.0,-7.74,0,0
C32,HSX,17.1,-0.6,1.18,0.26,-0.97,15.3930764613078,0.203059416099244
C47,HSX,6.4,-1.14,0.0,0.37,-3.61,23.4739253439017,0.18421789012219
C4G,UpCom,10.8,-4.85,1.61,-0.29,-19.35,33.5749877865953,0
C69,HNX,6.6,-10.0,2.63,0.0,-11.0,27.2314249186086,0
C92,UpCom,3.5,-6.06,-2.78,2.22,0.0,22.8065038709532,-0.189378669704671
CAB,UpCom,12.7,0.0,0.0,15.0,-6.64,18.1516407292395,0
CAD,UpCom,0.7,0.0,16.67,0.0,0.0,-0.312870625642497,0.0697110293976089
CAG,HNX,7.2,-1.43,0.0,1.16,-5.65,31.0341439925935,0
CAN,HNX,71,0.0,0.0,0.0,-3.75,29.0451984037652,-0.508281482779774
CAP,HNX,72.4,-1.57,0.0,0.14,-26.37,0,0.0280308947322746
CAR,UpCom,32.8,1.55,0.63,-0.94,-0.35,0,0
CAT,UpCom,15.9,-1.25,-5.97,-5.97,-10.72,0,0
CAV,HSX,66.9,-1.05,0.3,0.31,-0.99,12.3537229074193,0.465435914118413
CBI,UpCom,6.1,0.0,0.0,-1.41,0.0,43.8268126651683,0
CBS,UpCom,30.5,-2.36,0.3,-1.57,-43.68,0,0
CC1,UpCom,13,-3.36,-0.71,-12.61,-17.8,32.2674878099284,0
CC4,UpCom,14,0.0,0.0,12.9,0.0,66.4393678069378,0
CCA,UpCom,15.2,-14.61,0.0,-2.96,-4.38,31.719831504522,0
CCI,HSX,23.3,5.68,2.15,-2.77,-4.68,13.9872034764609,0.138793023038896
CCL,HSX,6.31,-3.06,0.31,0.0,-6.79,6.70719176585286,0.69359201567018
CCM,UpCom,36.1,14.86,0.0,-14.7,-4.04,5.05944268447469,0.0735626194198367
CCP,UpCom,30.1,0.0,0.0,0.0,0.0,0,0
CCR,HNX,10.9,0.0,0.88,0.0,-4.33,23.3162233850733,0
CCT,UpCom,8.9,0.0,0.0,0.0,0.0,339.961783970928,0
CCV,UpCom,34,0.0,0.0,-15.0,-17.39,0,0
CDC,HSX,20.25,-0.25,1.02,0.27,-0.28,35.204392445995,0.952989459938439
CDG,UpCom,2.5,0.0,0.0,0.0,-24.24,0,0
CDH,UpCom,2.1,0.0,0.0,0.0,-19.23,0,0
CDN,HNX,26.5,0.0,0.0,-0.36,-11.28,9.9049128476276,0
CDO,UpCom,1.2,0.0,0.0,0.0,0.0,-4.53078376547466,0
CDP,UpCom,10.4,0.0,-2.7,-3.54,-13.87,9.27438896884652,0
CDR,UpCom,4.9,0.0,0.0,-9.52,-10.71,0,0
CE1,UpCom,10.3,0.0,0.0,0.0,0.0,0,0
CEG,UpCom,7,0.0,0.0,0.0,-21.74,0,0
CEN,UpCom,5.2,-6.52,-4.55,2.9,-12.82,-165.004143159503,0
CEO,HNX,21.9,0.51,1.09,1.51,-32.52,31.1530311780023,0.972745596354395
CET,HNX,7.7,1.35,5.41,0.0,0.0,52.9775179174842,0
CFM,UpCom,8.8,0.0,0.0,0.0,0.0,0,0
CFV,UpCom,28,0.0,0.0,2.37,0.0,44.939038962657,0
CGV,UpCom,2.8,0.0,3.57,3.33,-10.34,0,0
CH5,UpCom,13.5,0.0,0.0,0.0,-15.12,0,0
CHC,UpCom,3.6,0.0,0.0,0.0,-10.34,0,0
CHP,HSX,23.6,-0.42,0.43,0.0,-1.41,9.13817628383369,0.402243449303304
CHS,UpCom,9.7,0.0,0.0,3.09,-4.43,9.46122366746381,0
CI5,UpCom,8,0.0,0.0,5.56,0.0,0,0.0459349671755578
CIA,HNX,10,1.02,1.01,-0.89,-5.21,2.60304384312927,0
CID,UpCom,9.4,0.0,0.0,5.56,0.0,-98.9282767725784,-0.0334764700727368
CIG,HSX,5.65,-2.14,-0.31,1.34,-7.95,20.3179944312578,0.392951945080092
CII,HSX,16.2,-2.11,-0.56,1.39,-7.24,109.724382487594,0.633709542020334
CIP,UpCom,2.7,0.0,-6.25,0.0,5.56,0,0
CJC,HNX,25.8,0.0,0.0,-9.55,0.0,67.9972230335297,0.157129085969678
CKA,UpCom,37.9,0.0,0.0,-8.55,-2.45,0,0
CKD,UpCom,24,0.0,0.0,-0.69,0.0,8.3022853545174,0
CKG,HSX,21.4,-0.24,0.85,-0.42,-6.85,18.4261425270816,0
CKV,HNX,13,0.0,0.0,0.0,-8.46,24.7215862432208,-0.0577512926123915
CLC,HSX,34.9,-0.43,0.29,0.29,-2.02,6.71478387490196,-0.239250069956161
CLG,UpCom,0.7,0.0,0.0,0.0,0.0,1.29769981447496,0.886950844137674
CLH,HNX,24.3,-0.41,0.82,1.57,-10.07,5.75248739300492,0
CLL,HSX,35,-0.9,1.88,0.27,0.8,15.8616178800621,0.480458912414887
CLM,HNX,55.1,0.0,0.0,-0.17,-3.03,5.10757860886457,0
CLW,HSX,25.35,-6.77,-0.57,0.0,0.0,7.83207396864061,0.167428411528775
CLX,UpCom,13.9,-2.92,0.0,0.0,-8.16,7.76518160558508,0
CMC,HNX,5.3,8.16,0.0,-2.3,-8.82,22.0708604980246,0.413110156866182
CMD,UpCom,17.5,0.0,0.57,-2.15,-20.95,9.44904368021006,0
CMF,UpCom,190,0.0,0.0,0.0,-2.78,30.7655735609425,0
CMG,HSX,44.75,-2.79,0.64,0.41,-6.71,30.6600514522831,0.450424400708889
CMI,UpCom,2,0.0,0.0,0.0,0.0,-2.53662954362262,1.20681798264832
CMK,UpCom,8.8,0.0,0.0,0.0,-7.37,8.42985373757071,0
CMN,UpCom,70,0.0,0.0,0.0,-4.3,0,0
CMP,UpCom,8.1,0.0,0.0,0.0,0.0,-29.1032048835361,0
CMS,HNX,22.2,-9.95,2.45,10.0,-5.38,379.767765648253,0.559723074226623
CMT,UpCom,11.4,0.0,2.63,3.31,-6.38,3.36112601352466,0.128066411715325
CMV,HSX,9.39,1.53,0.0,-1.98,-0.23,23.5335757845739,0.248017908777166
CMW,UpCom,9.5,0.0,0.0,0.0,-4.4,13.4007238436622,0
CMX,HSX,8.26,-1.68,0.0,6.57,-6.92,18.6854692730202,1.17908777166309
CNA,UpCom,43.9,0.0,0.0,0.0,0.0,0,0
CNC,UpCom,29.5,-1.69,1.67,0.0,-8.21,0,-0.0961438499894115
CNG,HSX,26.9,-4.64,1.18,-0.36,-6.48,14.0930258951389,0.674750489693126
CNN,UpCom,40.5,1.01,0.0,2.3,-1.68,0,0
CNT,UpCom,19.5,1.56,-1.07,4.76,-2.38,4.51693417794573,0.456923076923077
COM,HSX,30,-6.93,-6.09,0.0,-3.23,258.535963276199,0.32310418804216
CPA,UpCom,5.4,0.0,-1.67,0.0,0.0,-11.5428607190754,0
CPC,HNX,15.3,0.0,0.0,1.16,-8.59,7.65039019005059,0.20629217421786
CPH,UpCom,0.3,0.0,0.0,0.0,0.0,4.54645829154984,0
CPI,UpCom,2.4,0.0,4.17,0.0,0.0,15.4003359492594,0
CQN,UpCom,30,0.33,0.0,8.0,8.26,26.6540847766997,0
CQT,UpCom,10.4,0.0,-1.74,-3.36,-6.45,8.76025305539996,0
CRC,HSX,5.34,-1.33,0.0,1.33,-4.46,8.02848946810128,0
CRE,HSX,7.38,-2.97,0.13,1.87,-5.0,-274.952381661184,0
CSC,HNX,28.5,-3.27,1.69,-1.7,-26.06,10.8537277238654,0.271842958548769
CSI,UpCom,30.6,-7.07,0.74,0.0,-8.07,316.537006268392,0
CSM,HSX,12.05,1.26,0.39,0.7,0.0,19.2229128325953,0.764574200167895
CST,UpCom,15,-2.6,-1.25,3.85,-10.37,2.42146990692408,0
CSV,HSX,36.45,-0.6,1.9,1.81,-6.71,7.20825641684441,0
CT3,UpCom,7.3,0.0,0.0,0.0,0.0,0,-0.196792638084054
CT6,UpCom,5.7,0.0,0.0,0.0,14.29,4.21081874645855,0.448847765363128
CTA,UpCom,1.4,0.0,0.0,0.0,0.0,-1.74382017988957,0.926036280781702
CTB,HNX,20,0.0,0.0,-7.11,-7.11,6.4893935811367,-0.184558759092104
CTC,HNX,1.4,0.0,5.0,0.0,-6.25,-4.86948870250133,0.543208813909451
CTD,HSX,57.5,-2.88,4.25,-0.93,-6.98,81.4035780488887,-0.0027982464322358
CTF,HSX,29.8,-0.17,0.0,-2.48,-1.36,0,0
CTG,HSX,28,0.18,2.14,5.16,-4.69,8.85480866666732,1.03385878183005
CTI,HSX,14.3,-4.59,1.65,-0.87,-7.32,13.2276494398539,0.146255013524858
CTN,UpCom,0.6,0.0,0.0,0.0,0.0,-0.0583394065222083,0.213817190561377
CTP,HNX,4.6,2.33,0.0,4.35,-8.89,83.6367386559789,0
CTR,HSX,77.5,-2.07,1.82,2.49,-6.94,20.0329905949475,0
CTS,HSX,22.25,-6.73,2.75,1.71,-7.34,15.7427331537174,1.02068179826483
CTT,HNX,18.6,0.0,0.0,-6.67,-6.67,8.43673354756571,0
CTW,UpCom,16,0.0,0.0,0.0,-2.92,16.456598021405,0
CTX,HNX,7.6,0.0,0.0,0.0,0.0,144.279143253365,0.710805363245991
CVN,HNX,3.2,0.0,0.0,0.0,-3.03,103.221559558874,0.956708439225309
CVT,HSX,33,-5.74,-0.96,-0.58,-0.11,15.0665870594413,0.854876873192533
CX8,HNX,7,0.0,-18.59,-19.43,-19.43,19.2882757215548,0.460783454561388
