Ticker,Stock_Ex,Price,% Price 7 days,% Price 1 month,% Price 3 months,% Price 1 year,EPS,PE,Beta
BIG,UpCom,8.6,-7.61,-10.11,6.76,-4.46,0.5917794334,13.0116046036959,0
BII,UpCom,0.8,-11.11,0.0,9.09,0.0,-0.285919669926524,-3.14773726561479,0.806940671282096
BIO,UpCom,20,0.0,13.86,-1.64,-3.48,0,0,0
BKC,HNX,0,0.0,0.0,-7.95,0.0,0.485217219704137,14.8387149252251,0.0766803961090176
BKG,HSX,4.36,2.63,2.09,-0.21,0.64,0.442837506707945,10.5682105266808,0
BLF,HNX,0,0.0,0.0,0.0,0.0,-1.96359304394995,-1.62966558160285,-0.126895101218123
BLI,UpCom,11.8,0.0,0.0,0.0,-2.99,0.644258255757375,18.6260709781562,0
BLN,UpCom,6.5,0.0,0.0,-3.58,-3.58,0,0,0
BLT,UpCom,33.6,0.0,13.42,0.0,-10.2,0,0,0
BLW,UpCom,12.8,0.0,0.0,0.0,-5.09,0.481876152934926,24.0725753481445,0
BMC,HSX,13.85,-0.74,2.09,2.73,0.36,1.35616444203268,11.6505045481934,0.216490998973976
BMD,UpCom,10,0.0,0.0,0.0,-6.52,0,0,0
BMF,UpCom,9.9,6.25,0.0,-73.22,-73.75,0.875958092920593,23.1263462777333,0
BMG,UpCom,19.5,0.0,0.0,0.0,-7.73,0.844501688482899,23.6826051063662,0
BMI,HSX,21.55,1.23,0.77,0.59,-0.84,1.67377987026562,12.8750502875747,0.550228523458633
BMJ,UpCom,11.5,0.0,-1.69,0.76,-1.69,0.208683327809566,61.8161505061483,0.0784446526817773
BMN,UpCom,8,0.0,0.0,0.0,-7.07,0.286961396402764,28.5752721543455,0
BMP,HSX,85.5,1.1,1.07,-1.79,-1.91,11.4412393739286,7.6215519272068,0.404346609458073
BMS,UpCom,9.7,0.0,1.79,1.82,-2.35,4.23838864750478,3.23236048871202,0
BMV,UpCom,44.8,0.0,-0.06,-0.06,38.39,0.128740245222355,349.948418089301,0
BNA,HNX,0,-1.15,1.89,0.0,-23.36,1.44756469055591,9.32600807969113,0
BNW,UpCom,10,0.0,0.0,0.0,-4.39,0.540068304516656,16.6645587692,0
BOT,UpCom,3.7,6.06,2.63,-2.04,0.0,-0.940309838067204,-2.97774189596417,0
BPC,HNX,0,-2.11,0.0,-6.13,-2.22,0.389830326830263,23.8565328552525,0.54140741389887
BQB,UpCom,3.5,0.0,0.0,0.0,0.0,-1.84538048862069,-2.05919593462282,0
BRC,HSX,11.6,1.75,-0.84,0.0,3.07,1.35072169286984,8.95817403679323,0.17824829773342
BRR,UpCom,17.8,0.0,3.21,0.0,10.4,0.869691291109511,20.9269659085367,0
BRS,UpCom,20.3,0.0,0.0,6.8,0.0,0.555938512584529,44.6092498335942,0
BSA,UpCom,18,0.0,-0.56,-0.3,-4.26,2.05194235697138,8.62597330761511,0
BSC,HNX,0,-100.0,0.0,0.0,-4.0,0.718333366811109,16.7053356483655,-0.270754064337599
BSD,UpCom,26,0.0,0.0,0.0,-1.92,0,0,0
BSG,UpCom,11.4,2.48,5.3,-8.97,10.83,Infinity,0,0
BSH,UpCom,20.5,0.0,0.0,0.0,-4.9,2.3659562036045,8.11511217779479,0
BSI,HSX,37.1,2.0,6.9,1.22,0.0,0.83301405075652,44.5370638902271,1.37673724466001
BSL,UpCom,9.5,-1.04,0.0,3.26,-3.06,0.258023884786133,37.5934189504975,0
BSP,UpCom,10.6,0.0,0.98,0.0,-4.4,0.05895380220672,181.498047614991,0
BSQ,UpCom,20.1,-0.48,0.0,0.0,-8.65,Infinity,0,0
BSR,UpCom,18.7,1.64,0.0,-2.75,-4.77,1.53615631599679,14.2563616553497,0
BST,HNX,0,6.3,0.0,0.0,-16.66,1.91857364028,7.50557585993855,-0.280168258697748
BT1,UpCom,12.5,-7.41,-7.41,-7.41,-7.41,0,0,0
BT6,UpCom,3.6,-14.29,0.0,10.81,0.0,-1.755052221908,-2.50704790722213,1.00764854024811
BTB,UpCom,5.7,0.0,0.0,0.0,0.0,0.096840056058683,70.2188771542981,0
BTD,UpCom,20.1,0.0,0.0,4.07,-9.09,0,0,0
